hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
35592214922,2025-11-04,Michigan,CITY,City Council,1,2.68,2.68,,0,0.3846268330358148,0,1.923134165179074,Unlikely to Win,2,Has a Chance,3,1
23647958967,2024-11-05,Michigan,LOCAL,School Board,1,5.0,5.0,,1,0.5082428428752424,1,2.541214214376212,Has a Chance,3,,0,3
23521998926,2024-11-05,Minnesota,LOCAL,Town Council,1,3.75,3.75,,1,0.8099017975248557,1,4.049508987624279,Frontrunner,5,Likely to Win,4,1
39411890317,2025-11-04,South Carolina,CITY,Mayor,1,1.52,1.52,,1,0.41476627894919504,0,2.073831394745975,Has a Chance,3,Unlikely to Win,2,1
31015955757,2025-11-04,Ohio,CITY,Town Council,1,1.16,1.16,,0,0.539673856037982,1,2.69836928018991,Has a Chance,3,Unlikely to Win,2,1
39503021702,2025-11-04,Georgia,CITY,City Council,1,3.25,3.25,,1,0.5089207066071668,1,2.544603533035834,Has a Chance,3,Likely to Win,4,1
41294802605,2025-11-04,Iowa,CITY,City Council,1,2.61,2.61,,1,0.735012164478043,1,3.675060822390215,Likely to Win,4,Has a Chance,3,1
23787853372,2024-11-05,Minnesota,LOCAL,Town Council,1,1.77,1.77,,1,0.8131337739944708,1,4.065668869972354,Frontrunner,5,Unlikely to Win,2,3
34500194221,2025-11-04,New York,CITY,City Council,4,0.66,0.66,2025-11-04T05:00:00.000,0,0.3565000424401276,0,1.7825002122006381,Unlikely to Win,2,No Chance,1,1
30300765789,2025-04-01,,Local,Town Council,1,4.0,4.0,,1,0.570187553748935,1,2.850937768744675,Has a Chance,3,Frontrunner,5,2
38901898580,2025-11-04,Ohio,TOWNSHIP,Other,1,0.9,0.9,,1,0.6790605271346696,1,3.395302635673348,Likely to Win,4,No Chance,1,3
33013322893,2025-05-20,Oregon,LOCAL,School Board,1,5.0,5.0,,1,0.644426692982889,1,3.222133464914445,Likely to Win,4,,0,4
38581189547,2025-11-04,Ohio,TOWNSHIP,Town Council,1,1.49,1.49,,0,0.6610099884197529,1,3.3050499420987647,Likely to Win,4,Unlikely to Win,2,2
39635713410,2025-11-04,Ohio,Local,School Board,1,1.33,1.33,,0,0.5850373024890797,1,2.9251865124453986,Has a Chance,3,Unlikely to Win,2,1
23478238076,2024-11-05,Oregon,CITY,City Council,1,2.23,2.23,,1,0.5124615012135258,1,2.5623075060676292,Has a Chance,3,Has a Chance,3,0
40691172010,2025-11-04,Iowa,CITY,City Council,1,4.02,4.02,,1,0.7255629295310255,1,3.6278146476551276,Likely to Win,4,Frontrunner,5,1
37031930804,2025-11-04,Iowa,LOCAL,School Board,1,3.13,3.13,,1,0.7275969235776707,1,3.6379846178883533,Likely to Win,4,Likely to Win,4,0
38351626581,2025-11-04,Pennsylvania,LOCAL,School Board,1,0.65,0.65,,0,0.6475453657321086,1,3.237726828660543,Likely to Win,4,No Chance,1,3
31207673966,2025-11-04,Washington,COUNTY,,1,0.89,0.89,,0,0.14543721929315484,0,0.7271860964657741,No Chance,1,No Chance,1,0
30916950381,2025-11-04,Tennessee,CITY,,1,2.11,2.11,,0,0.10843981593352074,0,0.5421990796676037,No Chance,1,Has a Chance,3,2
29643726213,2025-04-01,Missouri,CITY,City Council,1,5.0,5.0,,1,0.6486898210672881,1,3.2434491053364405,Likely to Win,4,,0,4
37455756625,2025-11-04,Massachusetts,CITY,City Council,1,3.19,3.19,,1,0.536280277991896,1,2.68140138995948,Has a Chance,3,Likely to Win,4,1
36734333720,2025-11-04,Kansas,CITY,City Council,1,2.84,2.84,,1,0.5699450602869092,1,2.849725301434546,Has a Chance,3,Has a Chance,3,0
35410199410,2025-09-30,California,,,1,,,,0,0.03249673264072948,0,0.16248366320364738,No Chance,1,,0,1
38956773728,2025-11-04,Minnesota,Local,City Council,1,2.4,2.4,,1,0.6733160429170699,1,3.3665802145853494,Likely to Win,4,Has a Chance,3,1
30995050047,2025-05-03,Texas,CITY,City Council,1,0.55,0.55,,0,0.3661370483348537,0,1.8306852416742685,Unlikely to Win,2,No Chance,1,1
23215091372,2024-10-01,Alaska,LOCAL,School Board,1,2.01,2.01,,1,0.4302856881787974,0,2.151428440893987,Has a Chance,3,Has a Chance,3,0
36947521182,2025-11-04,Utah,CITY,Mayor,1,0.81,0.81,,1,0.3644390984372088,0,1.822195492186044,Unlikely to Win,2,No Chance,1,1
28715899826,2025-04-01,Illinois,CITY,City Council,1,2.6,2.6,,0,0.4848750370674589,1,2.4243751853372943,Has a Chance,3,Has a Chance,3,0
36942834834,2025-11-04,North Carolina,CITY,Town Council,1,2.71,2.71,,0,0.5242392770271652,1,2.621196385135826,Has a Chance,3,Has a Chance,3,0
39438173193,2025-11-03,New Mexico,Local,Other,1,2.41,2.41,,1,0.6746448888132844,1,3.3732244440664223,Likely to Win,4,Has a Chance,3,1
36293448457,2025-11-04,Washington,LOCAL,School Board,1,1.17,1.17,,1,0.6175665618156573,1,3.0878328090782863,Likely to Win,4,Unlikely to Win,2,2
