hubspot_id,state,office_level,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun
25085668621,Minnesota,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
30300765789,,Local,Town Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
21979914509,Florida,LOCAL,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
43038541583,New Mexico,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40104564994,Utah,LOCAL,,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31847868005,Texas,CITY,City Council,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
23306526317,Minnesota,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35874819753,Washington,CITY,Mayor,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30758238851,Florida,,,1,0,,4.0,0,0,99999,0,0,0,1,0,0,0,0
23758180763,Tennessee,CITY,Mayor,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39426336942,Georgia,Local,City Council,1,1,,11.0,0,0,99999,0,1,0,0,0,0,0,0
34453004416,Ohio,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22326051964,Virginia,CITY,Town Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
29492251423,Illinois,LOCAL,School Board,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
22823843997,Michigan,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22326928183,Delaware,Local,Town Council,1,1,,8.0,0,1,99999,0,0,0,0,0,0,1,0
39421931522,New Mexico,Local,Other,1,1,,11.0,0,0,99999,0,1,0,0,0,0,0,0
38588250403,New York,COUNTY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36617889034,Kansas,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
26729785171,Mississippi,CITY,City Council,1,0,,6.0,0,0,99999,0,0,1,0,0,0,0,0
